year,state_name,total_agencies,participating_agencies,participation_pct,nibrs_participating_agencies,nibrs_participation_pct,covered_agencies,covered_pct,total_population,nibrs_participating_population
1984,Florida,730,723,99.04,20,2.74,20,2.74,11004237,11002512
1984,Georgia,536,193,36.01,0,0.00,5,0.93,5874774,3823940
1984,Guam,1,0,0.00,0,0.00,0,0.00,0,0
1984,Hawaii,14,14,100.00,9,64.29,9,64.29,1088227,1088227
1984,Idaho,114,108,94.74,14,12.28,14,12.28,1024888,1010490
1984,Illinois,789,601,76.17,79,10.01,94,11.91,11612480,7846284
1984,Indiana,340,236,69.41,1,0.29,5,1.47,5511510,4024131
1984,Iowa,230,230,100.00,7,3.04,7,3.04,2922583,2922583
1984,Kansas,275,262,95.27,17,6.18,17,6.18,2469215,2425139
1984,Kentucky,492,418,84.96,18,3.66,23,4.67,3754759,3160622
1984,Louisiana,184,103,55.98,6,3.26,9,4.89,4480197,3565660
1984,Maine,140,138,98.57,5,3.57,5,3.57,1163943,1162703
1984,Maryland,176,170,96.59,18,10.23,18,10.23,4438521,4436755
1984,Massachusetts,415,258,62.17,5,1.20,6,1.45,5814655,4792370
1984,Michigan,762,667,87.53,94,12.34,95,12.47,9268441,8907254
1984,Minnesota,294,294,100.00,7,2.38,7,2.38,4175935,4175935
1984,Mississippi,213,91,42.72,0,0.00,1,0.47,2614707,1365387
1984,Missouri,313,198,63.26,8,2.56,19,6.07,5080944,3939162
1984,Montana,109,73,66.97,8,7.34,9,8.26,889032,799234
1984,Nebraska,226,162,71.68,44,19.47,61,26.99,1698403,1532961
1984,Nevada,34,23,67.65,1,2.94,2,5.88,916349,819032
1984,New Hampshire,229,164,71.62,78,34.06,106,46.29,1112253,787002
1984,New Jersey,608,516,84.87,3,0.49,3,0.49,7518447,7507733
1984,New Mexico,111,55,49.55,1,0.90,7,6.31,1436880,964525
1984,New York,1015,820,80.79,93,9.16,97,9.56,18951381,17159789
1984,North Carolina,686,381,55.54,4,0.58,4,0.58,6170971,5960539
1984,North Dakota,84,74,88.10,4,4.76,4,4.76,691036,647916
1984,Ohio,586,438,74.74,38,6.48,52,8.87,10980343,9372045
1984,Oklahoma,334,323,96.71,42,12.57,46,13.77,3343462,3299694
1984,Oregon,277,214,77.26,9,3.25,9,3.25,2680631,2632072
1984,Pennsylvania,1346,1215,90.27,178,13.22,179,13.30,12157173,11681472
1984,Puerto Rico,1,0,0.00,0,0.00,0,0.00,0,0
1984,Rhode Island,53,44,83.02,2,3.77,2,3.77,966452,962029
1984,South Carolina,313,242,77.32,56,17.89,57,18.21,3361430,3340009
1984,South Dakota,98,46,46.94,2,2.04,9,9.18,718380,468564
1984,Tennessee,290,182,62.76,3,1.03,4,1.38,4730831,3728635
1984,Texas,826,802,97.09,45,5.45,46,5.57,16115527,16003657
1984,Utah,128,120,93.75,10,7.81,10,7.81,1683740,1667583
1984,Vermont,64,32,50.00,16,25.00,17,26.56,544102,392294
1984,Virginia,414,400,96.62,4,0.97,4,0.97,5639141,5636910
1984,Washington,213,171,80.28,2,0.94,3,1.41,4353466,3716107
1984,West Virginia,369,300,81.30,6,1.63,6,1.63,1954068,1699418
